keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Strompreis',de,Ökonomie,#00ffff,#00ffff,1,1
'Gaspreis',de,Ökonomie,#00ffff,#00ffff,1,1
'Preisexplosion',de,Ökonomie,#00ffff,#00ffff,1,1

'Energiesparen',de,Verbrauch,#ffff00,#ffff00,1,1
'Energiespartipps',de,Verbrauch,#ffff00,#ffff00,1,1
'durchschnittlicher Stromverbrauch',de,Verbrauch,#ffff00,#ffff00,1,1
'Stromzähler ablesen',de,Verbrauch,#ffff00,#ffff00,1,1
'Gaszähler ablesen',de,Verbrauch,#ffff00,#ffff00,1,1

'Wärmepumpe',de,Technik,#ff0000,#ff0000,1,1
'PV-Anlage',de,Technik,#ff0000,#ff0000,1,1
'Dämmung',de,Technik,#ff0000,#ff0000,1,1
'Energieberatung',de,Technik,#ff0000,#ff0000,1,1
'Ökostrom',de,Technik,#ff0000,#ff0000,1,1
'Erneuerbare Energien',de,Technik,#ff0000,#ff0000,1,1

'Gaspreisbremse',de,Politik,#00ff00,#00ff00,1,1
'Strompreisbremse',de,Politik,#00ff00,#00ff00,1,1
'Krieg',de,Politik,#00ff00,#00ff00,1,1
'Ukraine',de,Politik,#00ff00,#00ff00,1,1
'Russland',de,Politik,#00ff00,#00ff00,1,1
'Ölpreis',de,Politik,#00ff00,#00ff00,1,1

'Black-Out',de,Gefahr,#0000ff,#0000ff,1,1
'Brown-Out',de,Gefahr,#0000ff,#0000ff,1,1
'Winter',de,Gefahr,#0000ff,#0000ff,1,1

'CO2',de,Klima,#ff00ff,#ff00ff,1,1
'Energiekriese',de,Klima,#ff00ff,#ff00ff,1,1
'Energiewende',de,Klima,#ff00ff,#ff00ff,1,1
